Word	Type
airplane	transport_n1
airport	artifact_n1
airway	body_part_n1
alanine	material_n1
alarm	measuring_instrument_n1
albatross	bird_n1
albinism	state_n4
albino	person_n1
album	artifact_n1
albumen	material_n1
alcohol	food_n1
alder	material_n1
alga	microorganism_n1
algae	microorganism_n1
alien	person_n1
alkali	material_n1
alkalinity	property_n3
allele	Thing
allergen	substance_n1
allergy	state_n4
alley	artifact_n1
alligator	animal_n1
allotment	Thing
alloy	substance_n1
ally	social_group_n1
almanac	artifact_n1
almond	plant_part_n1
aloe	plant_n2
alp	formation_n5
alphabet	written_language_n1
alsatian	animal_n1
alteration	event_n1
alternation	quality_n1
alternative	process_n2
altimeter	measuring_instrument_n1
altitude	Thing
altocumulus	phenomenon_n1
altostratus	phenomenon_n1
aluminate	material_n1
aluminium	element_n2
aluminum	element_n2
alveolus	body_part_n1
amateur	person_n1
amazement	feeling_n1
ambition	feeling_n1
ambrosia	substance_n1
ambulance	transport_n1
ammonium	material_n1
ammunition	artifact_n1
amniocentesis	activity_n1
amoeba	microorganism_n1
amount	property_n3
amp	definite_quantity_n1
ampere	definite_quantity_n1
amphibian	animal_n1
amusement	feeling_n1
amylase	material_n1
analogy	process_n2
analysis	activity_n1
ananas	plant_part_n1
anaphase	period_n1
anaphylaxis	state_n4
anatomy	knowledge_n1
ancestor	person_n1
ancestry	social_group_n1
anchor	device_n1
anemia	state_n4
anemometer	measuring_instrument_n1
anemone	animal_n1
anesthetic	Thing
angel	knowledge_n1
anger	feeling_n1
angiosperm	plant_n2
angle	shape_n2
angler	fish_n1
anglerfish	fish_n1
angleworm	animal_n1
angwantibo	animal_n1
animal	animal_n1
animalcule	organism_n1
animation	activity_n1
ankle	body_part_n1
anniversary	period_n1
announcement	message_n2
annoyance	state_n4
anoa	animal_n1
anode	device_n1
anole	animal_n1
anorak	clothing_n1
anorexia	state_n4
answer	message_n2
ant	insect_n1
antacid	Thing
anteater	animal_n1
antelope	animal_n1
antenna	device_n1
anthem	auditory_communication_n1
anther	plant_part_n1
antheridium	plant_part_n1
anthology	artifact_n1
anthrax	illness_n1
antibiotic	Thing
antibody	material_n1
anticipation	feeling_n1
antidiuretic	Thing
antidote	Thing
antifreeze	substance_n1
antigen	substance_n1
antihistamine	Thing
antivenin	material_n1
antler	body_part_n1
anus	body_part_n1
anxiety	state_n4
anything	Thing
aorta	body_part_n1
aoudad	animal_n1
apartment	artifact_n1
apatite	material_n1
ape	animal_n1
aperture	device_n1
aphelion	location_n1
aphid	insect_n1
apparatus	equipment_n1
appearance	quality_n1
appendage	body_part_n1
appendix	body_part_n1
appetite	feeling_n1
applause	message_n2
apple	plant_part_n1
appliance	device_n1
application	activity_n1
appreciation	process_n2
approach	activity_n1
appropriateness	Thing
approval	activity_n1
apricot	plant_n2
apron	clothing_n1
aptitude	knowledge_n1
aquarium	artifact_n1
aquifer	formation_n5
arc	shape_n2
arcade	artifact_n1
arch	shape_n2
archaebacteria	microorganism_n1
archaeologist	person_n1
archegonium	plant_part_n1
archer	person_n1
archery	activity_n1
architecture	building_n1
ardour	feeling_n1
area	property_n3
argali	animal_n1
argentine	fish_n1
argon	element_n2
argument	Thing
arithmetic	knowledge_n1
ark	transport_n1
arm	body_part_n1
armadillo	animal_n1
armament	artifact_n1
armchair	artifact_n1
armor	artifact_n1
armour	Thing
army	social_group_n1
aroma	property_n3
arrangement	process_n2
array	Thing
arrival	action_n1
arrow	device_n1
arse	body_part_n1
arsenic	element_n2
art	artifact_n1
artery	body_part_n1
arthritis	illness_n1
arthropod	animal_n1
article	artifact_n1
artifact	artifact_n1
artist	person_n1
artiste	person_n1
artwork	Thing
ash	substance_n1
asp	animal_n1
asparagine	material_n1
asparagus	plant_n2
aspect	knowledge_n1
aspen	plant_n2
asphalt	artifact_n1
aspiration	Thing
aspirin	material_n1
ass	animal_n1
assembly	device_n1
assessment	process_n2
asset	quality_n1
assignment	activity_n1
assistance	activity_n1
assistant	person_n1
association	Thing
assortment	Thing
assumption	message_n2
asteroid	heavenly_body_n1
asthenosphere	location_n1
asthma	illness_n1
astonishment	feeling_n1
astronaut	person_n1
astronomer	person_n1
astronomy	knowledge_n1
asymmetry	property_n3
atherosclerosis	state_n4
athlete	person_n1
atlas	artifact_n1
atmosphere	location_n1
atom	substance_n1
atrium	body_part_n1
attachment	action_n1
attack	activity_n1
attacker	person_n1
attempt	activity_n1
attendant	person_n1
attention	process_n2
attenuation	event_n1
attic	artifact_n1
attitude	knowledge_n1
attraction	phenomenon_n1
attribute	knowledge_n1
attribution	process_n2
auctioneer	person_n1
audience	social_group_n1
audio	auditory_communication_n1
audition	knowledge_n1
auditorium	artifact_n1
aunt	person_n1
auntie	person_n1
author	person_n1
authority	quality_n1
autism	knowledge_n1
auto	transport_n1
automaton	person_n1
automobile	transport_n1
autosome	Thing
autotroph	plant_n2
autumn	period_n1
auxin	material_n1
availability	quality_n1
avalanche	event_n1
aversion	feeling_n1
avocado	plant_part_n1
award	Thing
awareness	process_n2
ax	tool_n1
axe	tool_n1
axil	shape_n2
axis	location_n1
axle	artifact_n1
axon	material_n1
baa	sound_n4
babirusa	animal_n1
baboon	animal_n1
baby	person_n1
baby-sitter	person_n1
back	body_part_n1
backbone	body_part_n1
backflow	event_n1
background	knowledge_n1
backhoe	device_n1
backpack	artifact_n1
backstage	artifact_n1
backup	phenomenon_n1
backwoods	location_n1
backwoodsman	person_n1
backyard	location_n1
bacon	substance_n1
bacterium	microorganism_n1
badge	process_n2
badger	animal_n1
badminton	activity_n1
badness	quality_n1
bag	artifact_n1
baggage	artifact_n1
bait	knowledge_n1
baker	person_n1
bakery	location_n1
balaclava	clothing_n1
balance	measuring_instrument_n1
baldness	state_n4
bale	artifact_n1
baleen	material_n1
ball	equipment_n1
ballad	auditory_communication_n1
ballet	activity_n1
balloon	artifact_n1
ballot	written_language_n1
ballroom	artifact_n1
balsa	material_n1
bamboo	material_n1
banana	plant_n2
band	artifact_n1
bandage	artifact_n1
bandicoot	animal_n1
bandsaw	tool_n1
bandstand	artifact_n1
bang	event_n1
bangle	artifact_n1
banjo	device_n1
bank	formation_n5
banner	artifact_n1
banteng	animal_n1
baobab	plant_n2
bar	artifact_n1
barb	material_n1
barbeque	food_n1
barber	person_n1
barite	material_n1
bark	sound_n4
barker	person_n1
barley	food_n1
barman	person_n1
barn	building_n1
barnacle	animal_n1
barometer	measuring_instrument_n1
baron	person_n1
barrack	artifact_n1
barrel	shape_n2
barrier	artifact_n1
barrow	artifact_n1
basalt	material_n1
base	artifact_n1
baseball	activity_n1
basement	artifact_n1
bash	event_n1
basidiocarp	plant_part_n1
basil	plant_n2
basilisk	knowledge_n1
basin	artifact_n1
basis	Thing
basket	artifact_n1
basketball	activity_n1
basketful	indefinite_quantity_n1
bass	substance_n1
bast	material_n1
bat	animal_n1
batch	Thing
bath	artifact_n1
bathroom	artifact_n1
battery	device_n1
battle	event_n1
battlement	artifact_n1
bay	water_n2
bazaar	artifact_n1
beach	formation_n5
beacon	Thing
bead	artifact_n1
beagle	animal_n1
beak	body_part_n1
beaker	artifact_n1
beam	phenomenon_n1
bean	substance_n1
beanstalk	plant_part_n1
bear	animal_n1
beard	Thing
bearing	property_n3
bearskin	material_n1
beast	animal_n1
beauty	quality_n1
beaver	animal_n1
bed	artifact_n1
bedclothes	artifact_n1
bedrock	Thing
bedroom	artifact_n1
bedside	location_n1
bedtime	knowledge_n1
bee	insect_n1
beech	plant_n2
beef	substance_n1
beefeater	person_n1
beehive	Thing
beer	food_n1
beet	plant_n2
beetle	insect_n1
beetroot	plant_n2
beggar	person_n1
beginning	event_n1
behavior	activity_n1
behaviour	state_n4
being	state_n4
belfry	artifact_n1
belief	knowledge_n1
bell	device_n1
belladonna	plant_n2
belle	person_n1
belly	body_part_n1
belt	clothing_n1
beluga	fish_n1
bench	artifact_n1
benchmark	Thing
benefit	quality_n1
benzene	material_n1
beret	clothing_n1
berry	plant_part_n1
beryllium	element_n2
bet	Thing
beta	Thing
beth	Thing
bettong	animal_n1
beverage	food_n1
bias	knowledge_n1
bib	artifact_n1
bibliotheca	Thing
bicarbonate	material_n1
biceps	body_part_n1
bicycle	transport_n1
bighorn	animal_n1
bike	transport_n1
bilby	animal_n1
bile	substance_n1
bill	written_language_n1
bin	artifact_n1
binoculars	device_n1
binomial	knowledge_n1
binturong	animal_n1
biochemistry	knowledge_n1
biodiversity	quality_n1
biogeography	knowledge_n1
biologist	person_n1
biology	knowledge_n1
biomass	substance_n1
biome	biome_n1
biosphere	location_n1
biosynthesis	phenomenon_n1
biotechnology	knowledge_n1
bioterrorism	event_n1
birch	material_n1
bird	bird_n1
birdbath	artifact_n1
birth	Thing
birthday	period_n1
birthplace	location_n1
biscuit	substance_n1
bison	animal_n1
bit	indefinite_quantity_n1
bitterness	property_n3
bivalve	animal_n1
blackberry	plant_part_n1
blackbird	bird_n1
blackboard	artifact_n1
blackbuck	animal_n1
blacksmith	person_n1
blacktop	artifact_n1
blackwood	material_n1
blade	device_n1
blanket	artifact_n1
blast	sound_n4
blastocyst	animal_n1
bleach	Thing
bleat	sound_n4
blend	event_n1
blender	artifact_n1
blighter	person_n1
blindfold	artifact_n1
blindness	state_n4
bliss	state_n4
blister	body_part_n1
blizzard	phenomenon_n1
blob	shape_n2
block	artifact_n1
blockage	state_n4
blog	written_language_n1
bloke	person_n1
blonde	person_n1
blood	substance_n1
bloodroot	plant_n2
bloodstream	substance_n1
bloodwort	plant_n2
blossom	plant_part_n1
blot	quality_n1
blotch	quality_n1
blouse	clothing_n1
blow	action_n1
blowfly	insect_n1
blubber	material_n1
bluebell	plant_n2
blueberry	plant_part_n1
bluebird	bird_n1
bluebottle	plant_n2
bluefin	substance_n1
bluefish	fish_n1
bluff	formation_n5
blunder	event_n1
boa	animal_n1
boar	animal_n1
board	artifact_n1
boat	transport_n1
boatman	person_n1
bobby	person_n1
bobcat	animal_n1
body	Thing
bog	Thing
boiler	artifact_n1
bole	material_n1
bomb	device_n1
bonanza	formation_n5
bond	phenomenon_n1
bone	body_part_n1
bonfire	event_n1
bongo	device_n1
bonnet	clothing_n1
bonobo	animal_n1
booby	bird_n1
boogie	auditory_communication_n1
book	artifact_n1
bookcase	artifact_n1
bookend	device_n1
booklet	artifact_n1
boomerang	device_n1
booster	Thing
boot	artifact_n1
booth	artifact_n1
booty	Thing
borax	material_n1
bore	event_n1
boron	element_n2
boss	person_n1
botanist	person_n1
botany	knowledge_n1
bother	activity_n1
bottle	artifact_n1
bottleneck	property_n3
bottlenose	animal_n1
bottom	location_n1
boulder	Thing
boundary	location_n1
bowel	body_part_n1
bowerbird	bird_n1
bowhead	animal_n1
bowl	artifact_n1
bowler	person_n1
bowman	person_n1
box	artifact_n1
boxer	person_n1
boy	person_n1
boyfriend	person_n1
brace	device_n1
bracelet	artifact_n1
brachiation	action_n1
brain	body_part_n1
brainstem	body_part_n1
brainwave	phenomenon_n1
brake	device_n1
bramble	plant_n2
branch	social_group_n1
brand	Thing
brandy	food_n1
brant	bird_n1
brass	substance_n1
bravery	Thing
bravo	message_n2
brazil	plant_part_n1
bread	substance_n1
breadcrumb	indefinite_quantity_n1
breadth	knowledge_n1
break	event_n1
breakage	indefinite_quantity_n1
breakdown	action_n1
breakfast	food_n1
breakthrough	process_n2
breast	body_part_n1
breath	phenomenon_n1
breed	social_group_n1
breeder	person_n1
breeze	phenomenon_n1
bribery	activity_n1
brick	artifact_n1
bricklayer	person_n1
bride	person_n1
bridegroom	person_n1
bridesmaid	person_n1
bridge	device_n1
bridle	equipment_n1
brigade	social_group_n1
brightness	property_n3
brim	artifact_n1
bristle	material_n1
broadcast	Thing
broccoli	plant_n2
brocket	animal_n1
brolly	artifact_n1
bromine	element_n2
bronchiole	body_part_n1
bronchus	body_part_n1
bronze	substance_n1
brood	Thing
brook	water_n2
broom	artifact_n1
broomstick	Thing
broth	food_n1
brother	person_n1
brow	body_part_n1
brownie	Thing
bruise	state_n4
bruiser	person_n1
brunch	food_n1
brush	Thing
bryophyte	organism_n1
bubble	shape_n2
buck	animal_n1
bucket	artifact_n1
buckle	device_n1
bud	plant_part_n1
budgerigar	bird_n1
budget	Thing
budgie	bird_n1
buff	person_n1
buffalo	animal_n1
buffoon	person_n1
bufo	animal_n1
bug	insect_n1
buggy	transport_n1
builder	person_n1
building	building_n1
buildup	action_n1
bulb	device_n1
bulimia	state_n4
bulk	property_n3
bull	animal_n1
bulldog	animal_n1
bulldozer	transport_n1
bullet	device_n1
bulletin	message_n2
bullfrog	animal_n1
bullock	animal_n1
bully	person_n1
bum	person_n1
bumper	device_n1
bun	substance_n1
bunch	Thing
bundle	Thing
bungalow	building_n1
bunion	knowledge_n1
bunk	artifact_n1
bunny	animal_n1
bunsen	equipment_n1
buoyancy	property_n3
burden	knowledge_n1
burdock	plant_n2
bureau	social_group_n1
burgess	person_n1
burglar	person_n1
burglary	activity_n1
burial	event_n1
burn	state_n4
burner	equipment_n1
burr	Thing
burrow	formation_n5
bus	transport_n1
bush	plant_n2
bushbaby	animal_n1
bushbuck	animal_n1
bushman	person_n1
business	social_group_n1
businessman	person_n1
butler	person_n1
butt	body_part_n1
butter	food_n1
buttercup	plant_n2
butterfly	insect_n1
button	device_n1
buzzer	device_n1
bye	message_n2
bye-bye	message_n2
byproduct	phenomenon_n1
bystander	person_n1
c	definite_quantity_n1
cab	artifact_n1
cabbage	substance_n1
cabin	artifact_n1
cabinet	artifact_n1
cable	device_n1
cacomistle	animal_n1
cactus	plant_n2
cadmium	element_n2
caecum	body_part_n1
cafe	building_n1
caffeine	material_n1
cage	artifact_n1
caiman	animal_n1
cake	substance_n1
calcite	material_n1
calcitonin	substance_n1
calcium	element_n2
calculation	activity_n1
calculator	device_n1
calendar	knowledge_n1
calf	animal_n1
caliper	measuring_instrument_n1
call	artifact_n1
calorie	definite_quantity_n1
calorimeter	measuring_instrument_n1
cam	device_n1
camel	animal_n1
camera	equipment_n1
camp	artifact_n1
campaign	event_n1
camper	person_n1
campfire	event_n1
campsite	location_n1
can	artifact_n1
canal	body_part_n1
canary	bird_n1
cancer	illness_n1
candida	plant_n2
candidate	person_n1
candidiasis	phenomenon_n1
candle	device_n1
candlestick	device_n1
candy	food_n1
cane	artifact_n1
cannon	artifact_n1
cannonball	device_n1
canoe	transport_n1
canon	message_n2
cantaloup	plant_n2
cantaloupe	plant_n2
canteen	artifact_n1
canvas	artifact_n1
canvasback	bird_n1
canyon	formation_n5
cap	clothing_n1
capability	quality_n1
capacity	quality_n1
cape	clothing_n1
capillary	artifact_n1
capital	location_n1
capsid	insect_n1
capsule	artifact_n1
captain	person_n1
captive	person_n1
capuchin	animal_n1
capybara	animal_n1
car	transport_n1
carabao	animal_n1
caracal	animal_n1
carapace	body_part_n1
caravan	event_n1
carbide	material_n1
carbohydrate	material_n1
carbon	element_n2
carcinogen	substance_n1
card	material_n1
cardamom	plant_n2
cardboard	material_n1
cardigan	clothing_n1
cardinal	bird_n1
care	activity_n1
career	activity_n1
caretaker	person_n1
cargo	artifact_n1
caribou	animal_n1
carnation	plant_n2
carnival	activity_n1
carnivore	animal_n1
carol	activity_n1
carp	fish_n1
carpel	plant_part_n1
carpenter	person_n1
carpet	artifact_n1
carriage	transport_n1
carrier	person_n1
carrot	plant_part_n1
cart	transport_n1
carter	person_n1
cartilage	body_part_n1
carton	artifact_n1
cartoon	message_n2
cartwheel	action_n1
case	artifact_n1
cash	Thing
cashew	plant_part_n1
cassowary	bird_n1
caster	person_n1
casting	artifact_n1
castle	building_n1
casualty	person_n1
cat	animal_n1
catalog	artifact_n1
catalysis	Thing
cataract	illness_n1
catcher	person_n1
category	Thing
caterpillar	animal_n1
catfish	substance_n1
cathedral	building_n1
catheter	artifact_n1
catkin	plant_part_n1
cattail	plant_n2
cattle	animal_n1
cauldron	artifact_n1
cause	event_n1
causeway	artifact_n1
cave	formation_n5
cavern	shape_n2
cavity	phenomenon_n1
cavy	animal_n1
cayenne	plant_n2
cayman	animal_n1
cc	definite_quantity_n1
cecum	body_part_n1
cedar	plant_n2
ceiling	artifact_n1
celebration	event_n1
celery	plant_n2
cell	Thing
cellar	artifact_n1
cellophane	artifact_n1
cellphone	equipment_n1
cellulose	material_n1
census	activity_n1
cent	definite_quantity_n1
center	location_n1
centiliter	definite_quantity_n1
centimeter	definite_quantity_n1
centimetre	definite_quantity_n1
centipede	animal_n1
centre	location_n1
centriole	body_part_n1
centromere	body_part_n1
century	period_n1
cereal	plant_n2
cerebellum	body_part_n1
cerebrum	body_part_n1
ceremony	event_n1
certainty	state_n4
certificate	written_language_n1
cervix	body_part_n1
cessation	event_n1
chad	material_n1
chaffinch	bird_n1
chain	Thing
chainsaw	tool_n1
chair	artifact_n1
chalk	artifact_n1
challenge	event_n1
chamber	artifact_n1
chamberlain	person_n1
chameleon	animal_n1
chamois	material_n1
champ	person_n1
champagne	food_n1
champion	person_n1
chance	state_n4
chancellor	person_n1
chandler	person_n1
channel	artifact_n1
chaos	state_n4
chap	person_n1
chaparral	biome_n1
chapter	auditory_communication_n1
character	knowledge_n1
characteristic	knowledge_n1
charcoal	element_n2
charge	phenomenon_n1
chariot	transport_n1
charisma	quality_n1
charity	social_group_n1
charm	quality_n1
chart	Thing
chatter	auditory_communication_n1
checkerboard	artifact_n1
checklist	message_n2
checkpoint	location_n1
cheek	body_part_n1
cheer	message_n2
cheese	food_n1
cheetah	animal_n1
chef	person_n1
chelicera	body_part_n1
chemical	material_n1
chemist	person_n1
chemistry	knowledge_n1
chemosynthesis	phenomenon_n1
chemotherapy	activity_n1
chequebook	Thing
cherry	plant_part_n1
chess	activity_n1
chest	body_part_n1
chestnut	plant_part_n1
chevrotain	animal_n1
chi	state_n4
chick	bird_n1
chicken	bird_n1
chicot	plant_n2
chief	person_n1
child	person_n1
childbirth	phenomenon_n1
childhood	period_n1
chile	substance_n1
chill	property_n3
chimera	process_n2
chimney	artifact_n1
chimp	animal_n1
chimpanzee	animal_n1
chin	body_part_n1
china	artifact_n1
chinchilla	animal_n1
chipmunk	animal_n1
chisel	tool_n1
chitin	material_n1
chlamydia	illness_n1
chloride	material_n1
chlorine	element_n2
chlorophyl	material_n1
chlorophyll	material_n1
chloroplast	material_n1
choanocyte	Thing
chocolate	substance_n1
choice	process_n2
choir	social_group_n1
choker	artifact_n1
cholera	illness_n1
cholesterol	material_n1
chomp	Thing
chopper	transport_n1
chore	activity_n1
chorus	social_group_n1
chou	Thing
chough	bird_n1
chromate	material_n1
chromatid	material_n1
chromatin	substance_n1
chromite	material_n1
chromium	element_n2
chromoplast	material_n1
chromosome	Thing
chrysalis	insect_n1
chum	person_n1
chunk	Thing
church	building_n1
churchyard	location_n1
cicada	insect_n1
cider	food_n1
cigar	material_n1
cigarette	material_n1
