QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
0.84	most	amphibian	has-part	skull	Most amphibians has-part skulls.	1.00	y	n	n	animal_n1	body_part_n1	a73862
0.84	most	amphibian	live in	habitat	Most amphibians live in habitats.	1.00	y	n	n	animal_n1	location_n1	a3037|a3038|a3039|a29015|a79527|a79528
0.84	most	amphibian	live in	region	Most amphibians live in regions.	1.00	y	n	n	animal_n1	location_n1	a23543|a23544|a23545|a65363|a65364|a65365
0.84	most	amphibian	prefer	environment	Most amphibians prefer environments.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.84	most	amphibian	relate to	frog	Most amphibians relate to frogs.	1.00	y	n	n	animal_n1	animal_n1	a84223
0.80	most	amphibian	require	pond	Most amphibians require ponds.	1.00	y	n	n	animal_n1	water_n2	a79694
0.75	most	amphibian	has-part	head	Most amphibians has-part heads.	0.33	y	n	n	animal_n1	body_part_n1	a64773
0.75	most	amphibian	is located in	stream	Most amphibians are located in streams.	1.00	y	n	n	animal_n1	water_n2	a76993
0.75	most	amphibian	live in	water	Most amphibians live in water.	1.00	y	n	n	animal_n1	substance_n1	a15915|a15916|a53651|a53652|a53653
0.75	most	amphibian	possess	cell	Most amphibians possess cells.	1.00	y	n	n	animal_n1	Thing	a76977|a76978
0.75	most	amphibian	require	carbohydrate	Most amphibians require carbohydrates.	1.00	y	n	n	animal_n1	substance_n1	a35014
0.75	most	amphibian	require	environment	Most amphibians require environments.	1.00	y	n	n	animal_n1	location_n1	a19778|a19779|a19780
0.75	most	amphibian	require	habitat	Most amphibians require habitats.	1.00	y	n	n	animal_n1	location_n1	a25008|a25009|a25010|a67582
0.75	most	amphibian	thrive in	wetland	Most amphibians thrive in wetland.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.67	most	amphibian	emerge from	ecosystem	Most amphibians emerge from ecosystems.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.67	most	amphibian	emerge from	pond	Most amphibians emerge from ponds.	0.67	y	n	n	animal_n1	water_n2	KBCompletion
0.67	most	amphibian	feed in	water	Most amphibians feed in water.	1.00	y	n	n	animal_n1	substance_n1	a82215
0.67	most	amphibian	has-part	organ	Most amphibians has-part organs.	1.00	y	n	n	animal_n1	body_part_n1	a83770
0.67	most	amphibian	hunt	insect	Most amphibians hunt insects.	1.00	y	n	n	animal_n1	insect_n1	a56849
0.67	most	amphibian	live in	pond	Most amphibians live in ponds.	1.00	y	n	n	animal_n1	water_n2	a51741|a53545
0.67	most	amphibian	possess	skull	Most amphibians possess skulls.	1.00	y	n	n	animal_n1	body_part_n1	a58809
0.67	most	amphibian	possess	toxin	Most amphibians possess toxins.	1.00	y	n	n	animal_n1	substance_n1	a29160
0.67	most	amphibian	return to	pond	Most amphibians return to ponds.	1.00	y	n	n	animal_n1	water_n2	a45836
0.58	most	amphibian	eat	algae	Most amphibians eat algae.	1.00	y	n	n	animal_n1	microorganism_n1	a70523
0.58	most	amphibian	emerge from	river	Most amphibians emerge from rivers.	1.00	y	n	n	animal_n1	water_n2	KBCompletion
0.58	most	amphibian	emerge from	sea	Most amphibians emerge from sea.	1.00	y	n	n	animal_n1	water_n2	a42396
0.58	most	amphibian	has-part	gut	Most amphibians has-part guts.	1.00	y	n	n	animal_n1	body_part_n1	a33136
0.58	most	amphibian	has-part	hand	Most amphibians has-part hands.	1.00	y	n	n	animal_n1	body_part_n1	a43291
0.58	most	amphibian	has-part	heart	Most amphibians has-part hearts.	1.00	y	n	n	animal_n1	body_part_n1	a15089
0.58	most	amphibian	has-part	lung	Most amphibians has-part lungs.	0.75	y	n	n	animal_n1	body_part_n1	a3772|a20893|a20894|a20895|a20896|a20897|a20898
0.58	most	amphibian	has-part	stomach	Most amphibians has-part stomachs.	1.00	y	n	n	animal_n1	body_part_n1	a47055
0.58	most	amphibian	has-part	tail	Most amphibians has-part tails.	1.00	y	n	n	animal_n1	body_part_n1	a39108|a39109|a39110|a39111|a39112
0.58	most	amphibian	live in	environment	Most amphibians live in environments.	1.00	y	n	n	animal_n1	location_n1	a75711|a78794
0.50	some	amphibian	eat	insect	Some amphibians eat insects.	1.00	y	n	n	animal_n1	insect_n1	a13839|a13840|a34006|a34007|a34008
0.50	some	amphibian	emerge from	forest	Some amphibians emerge from forests.	0.67	y	n	n	animal_n1	Thing	KBCompletion
0.50	some	amphibian	emerge from	ground	Some amphibians emerge from ground.	0.50	y	n	n	animal_n1	Thing	KBCompletion
0.50	some	amphibian	emerge from	habitat	Some amphibians emerge from habitats.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.50	some	amphibian	emerge from	lake	Some amphibians emerge from lakes.	1.00	y	n	n	animal_n1	water_n2	KBCompletion
0.50	some	amphibian	emerge from	ocean	Some amphibians emerge from oceans.	1.00	y	n	n	animal_n1	water_n2	a62536
0.50	some	amphibian	has-part	gland	Some amphibians has-part glands.	1.00	y	n	n	animal_n1	body_part_n1	a11435|a11436|a72234
0.50	some	amphibian	is located in	water	Some amphibians are located in water.	1.00	y	n	n	animal_n1	substance_n1	KBCompletion
0.50	some	amphibian	is located in	woodland	Some amphibians are located in woodlands.	1.00	y	n	n	animal_n1	biome_n1	a68415
0.50	some	amphibian	live in	ecosystem	Some amphibians live in ecosystems.	1.00	y	n	n	animal_n1	Thing	a28422
0.50	some	amphibian	possess	egg	Some amphibians possess eggs.	1.00	y	n	n	animal_n1	Thing	a55023|a55024|a55025
0.41	some	amphibian	emerge from	region	Some amphibians emerge from regions.	0.67	y	n	n	animal_n1	location_n1	KBCompletion
0.41	some	amphibian	float in	pond	Some amphibians float in ponds.	1.00	y	n	n	animal_n1	water_n2	KBCompletion
0.41	some	amphibian	invade	ground	Some amphibians invade ground.	1.00	y	n	n	animal_n1	Thing	a32836|a32837
0.41	some	amphibian	is inside	lake	Some amphibians are inside lakes.	1.00	y	n	n	animal_n1	water_n2	KBCompletion
0.41	some	amphibian	is known as	salamander	Some amphibians are known as salamanders.	1.00	y	n	n	animal_n1	animal_n1	a30266|a30267
0.41	some	amphibian	is located in	marsh	Some amphibians are located in marsh.	1.00	y	n	n	animal_n1	Thing	a6780
0.41	some	amphibian	is located in	wetland	Some amphibians are located in wetland.	1.00	y	n	n	animal_n1	Thing	a64608|a64609
0.41	some	amphibian	live in	coastline	Some amphibians live in coastlines.	1.00	y	n	n	animal_n1	location_n1	a86123
0.41	some	amphibian	live in	lake	Some amphibians live in lakes.	1.00	y	n	n	animal_n1	water_n2	a64531
0.41	some	amphibian	live in	zone	Some amphibians live in zones.	1.00	y	n	n	animal_n1	location_n1	a8236|a8237
0.41	some	amphibian	move	tail	Some amphibians move tails.	0.67	y	n	n	animal_n1	body_part_n1	KBCompletion
0.41	some	amphibian	shake	head	Some amphibians shake heads.	1.00	y	n	n	animal_n1	body_part_n1	KBCompletion
0.33	some	amphibian	emerge from	Africa	Some amphibians emerge from Africa.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.33	some	amphibian	resemble	salamander	Some amphibians resemble salamanders.	1.00	y	n	n	animal_n1	animal_n1	a42866
0.33	some	amphibian	thrive in	environment	Some amphibians thrive in environments.	1.00	y	n	n	animal_n1	location_n1	a66363
0.30	some	amphibian	live in	Alberta	Some amphibians live in Alberta.	1.00	y	n	n	animal_n1	location_n1	a47710
0.25	some	amphibian	give birth to	frog	Some amphibians give birth to frogs.	0.33	y	n	n	animal_n1	animal_n1	a61162
0.25	some	amphibian	give birth to	offspring	Some amphibians give birth to offspring.	1.00	y	n	n	animal_n1	person_n1	a42051
0.25	some	amphibian	live in	Connecticut	Some amphibians live in Connecticut.	1.00	y	n	n	animal_n1	location_n1	a21986
0.25	some	amphibian	live in	Illinois	Some amphibians live in Illinois.	1.00	y	n	n	animal_n1	location_n1	a83503|a83504|a83505|a83506
0.25	some	amphibian	sit on	limb	Some amphibians sit on limbs.	0.67	y	n	n	animal_n1	body_part_n1	KBCompletion
0.16	some	amphibian	cross	street	Some amphibians cross streets.	0.67	y	n	n	animal_n1	artifact_n1	KBCompletion
0.41	some	ancestor	evolved from	mammal	Some ancestors are evolved from mammals.	1.00	y	n	n	person_n1	animal_n1	a43659
0.41	some	ancestor	ride	horse	Some ancestors ride horses.	1.00	y	n	n	person_n1	animal_n1	KBCompletion
0.41	some	ancestor	study	dinosaur	Some ancestors study dinosaurs.	1.00	y	n	n	person_n1	animal_n1	KBCompletion
0.25	some	ancestor	possess	ape	Some ancestors possess apes.	1.00	y	n	n	person_n1	animal_n1	a80189
0.16	some	ancestor	like	horse	Some ancestors like horses.	1.00	y	n	n	person_n1	animal_n1	KBCompletion
0.10	some	ancestor	buy	bird	Some ancestors buy birds.	0.67	y	n	n	person_n1	bird_n1	KBCompletion
0.33	some	anemone	help	crab	Some anemones help crabs.	1.00	y	n	n	animal_n1	animal_n1	a27109
0.84	most	angler	wait for	fish	Most anglers wait for fish.	1.00	y	n	n	fish_n1	fish_n1	a55036
0.67	most	angler	catch	fish	Most anglers catch fish.	1.00	y	n	n	fish_n1	fish_n1	a62753|a62754|a62755|a62756|a62757
0.67	most	angler	chase	fish	Most anglers chase fish.	1.00	y	n	n	fish_n1	fish_n1	KBCompletion
0.58	most	angler	watch	fish	Most anglers watch fish.	1.00	y	n	n	fish_n1	fish_n1	a55303
0.50	some	angler	release	fish	Some anglers release fish.	0.75	y	n	n	fish_n1	fish_n1	a58028|a58029
0.41	some	angler	want to	fish	Some anglers want to fish.	1.00	y	n	n	fish_n1	fish_n1	a12554
0.33	some	angler	catch	salmon	Some anglers catch salmon.	1.00	y	n	n	fish_n1	fish_n1	a22648|a22649|a22650|a22651|a22652
1.00	most	animal	depend on	air	Most animals depend on air.	1.00	y	n	n	animal_n1	substance_n1	a35010
1.00	most	animal	eat	food	Most animals eat food.	1.00	y	n	n	animal_n1	food_n1	a4024|a4025|a4026|a4027|a4028|a16586|a25452
1.00	most	animal	eat	organism	Most animals eat organisms.	1.00	y	n	n	animal_n1	organism_n1	a33457|a68954
1.00	most	animal	has-part	brain	Most animals has-part brains.	1.00	y	n	n	animal_n1	body_part_n1	a20601|a41808|a41809|a50623|a50624
1.00	most	animal	has-part	foot	Most animals has-part feet.	1.00	y	n	n	animal_n1	body_part_n1	a10500|a37875|a37876|a37877|a37878|a37879|a37880
1.00	most	animal	has-part	leg	Most animals has-part legs.	1.00	y	n	n	animal_n1	body_part_n1	a57704|a57705|a57706|a63375|a63376|a63377|a63378|a63379|a63380|a63381|a63382|a63383
1.00	most	animal	has-part	mouth	Most animals has-part mouths.	1.00	y	n	n	animal_n1	body_part_n1	a41244
1.00	most	animal	has-part	organ	Most animals has-part organs.	0.33	y	n	n	animal_n1	body_part_n1	a32471|a32472|a32473|a32474|a50485
1.00	most	animal	has-part	tooth	Most animals has-part teeth.	1.00	y	n	n	animal_n1	body_part_n1	a2094|a2095|a2096|a2097|a2098|a2099|a2100|a77490
1.00	most	animal	hear	sound	Most animals hear sound.	1.00	y	n	n	animal_n1	sound_v2	a70436|a70437
1.00	most	animal	live on	earth	Most animals live on earth.	1.00	y	n	n	animal_n1	material_n1	a66045|a66046|a66047|a66048|a66049|a66050|a66051
1.00	most	animal	live on	food	Most animals live on food.	1.00	y	n	n	animal_n1	food_n1	a31300
1.00	most	animal	require	food	Most animals require food.	1.00	y	n	n	animal_n1	food_n1	a52619|a52620|a56958|a81350|a85610|a85611|a85612
1.00	most	animal	require	oxygen	Most animals require oxygen.	1.00	y	n	n	animal_n1	element_n2	a6203|a49911
1.00	most	animal	require	water	Most animals require water.	1.00	y	n	n	animal_n1	substance_n1	a1252
1.00	most	animal	want	food	Most animals want food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.91	most	animal	attract	mate	Most animals attract mates.	1.00	y	n	n	animal_n1	animal_n1	a27778
0.91	most	animal	depend on	food	Most animals depend on food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.91	most	animal	depend on	water	Most animals depend on water.	1.00	y	n	n	animal_n1	substance_n1	a64848|a64849|a64850|a64851|a79734
0.91	most	animal	develop	skin	Most animals develop skin.	0.67	y	n	n	animal_n1	body_part_n1	KBCompletion
0.91	most	animal	evolved from	animal	Most animals are evolved from animals.	1.00	y	n	n	animal_n1	animal_n1	a53359|a84463
0.91	most	animal	feel	vibration	Most animals feel vibration.	1.00	y	n	n	animal_n1	event_n1	KBCompletion
0.91	most	animal	give birth to	offspring	Most animals give birth to offspring.	1.00	y	n	n	animal_n1	person_n1	a20703|a20704|a20705|a20706|a77587
0.91	most	animal	has-part	ear	Most animals has-part ears.	1.00	y	n	n	animal_n1	body_part_n1	a9948|a9949|a9950|a9951
0.91	most	animal	has-part	head	Most animals has-part heads.	0.67	y	n	n	animal_n1	body_part_n1	a30897|a44227
0.91	most	animal	has-part	heart	Most animals has-part hearts.	1.00	y	n	n	animal_n1	body_part_n1	a6895|a23929|a23930|a23931
0.91	most	animal	has-part	throat	Most animals has-part throats.	1.00	y	n	n	animal_n1	body_part_n1	a44776
0.91	most	animal	is located in	nature	Most animals are located in nature.	1.00	y	n	n	animal_n1	Thing	a62519
0.91	most	animal	is located in	region	Most animals are located in regions.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.91	most	animal	love	food	Most animals love food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.91	most	animal	move	leg	Most animals move legs.	1.00	y	n	n	animal_n1	body_part_n1	a41196
0.91	most	animal	possess	blood	Most animals possess blood.	1.00	y	n	n	animal_n1	substance_n1	a62469|a78111|a78112|a78113|a78114|a78115
0.91	most	animal	possess	membrane	Most animals possess membranes.	1.00	y	n	n	animal_n1	artifact_n1	KBCompletion
0.91	most	animal	require	air	Most animals require air.	1.00	y	n	n	animal_n1	substance_n1	a9626
0.91	most	animal	require	sustenance	Most animals require sustenance.	1.00	y	n	n	animal_n1	food_n1	a81954
0.91	most	animal	return to	food	Most animals return to food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.91	most	animal	seek	food	Most animals seek food.	1.00	y	n	n	animal_n1	food_n1	a24417|a39804|a39805|a85002|a85003
0.91	most	animal	swallow	food	Most animals swallow food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.91	most	animal	thrive in	region	Most animals thrive in regions.	1.00	y	n	n	animal_n1	location_n1	a52835|a52836
0.87	most	animal	carry	food	Most animals carry food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.84	most	animal	appear in	environment	Most animals appear in environments.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.84	most	animal	carry	gene	Most animals carry genes.	1.00	y	n	n	animal_n1	Thing	KBCompletion
0.84	most	animal	catch	food	Most animals catch food.	1.00	y	n	n	animal_n1	food_n1	KBCompletion
0.84	most	animal	come from	family	Most animals come from families.	0.67	y	n	n	animal_n1	social_group_n1	KBCompletion
0.84	most	animal	depend on	habitat	Most animals depend on habitats.	1.00	y	n	n	animal_n1	location_n1	a56891|a56892
0.84	most	animal	emerge from	environment	Most animals emerge from environments.	0.50	y	n	n	animal_n1	location_n1	KBCompletion
0.84	most	animal	evolved from	organism	Most animals are evolved from organisms.	0.67	y	n	n	animal_n1	organism_n1	a49633
0.84	most	animal	has-part	back	Most animals has-part backs.	1.00	y	n	n	animal_n1	body_part_n1	KBCompletion
0.84	most	animal	has-part	cerebellum	Most animals has-part cerebellums.	1.00	y	n	n	animal_n1	body_part_n1	a17589
0.84	most	animal	has-part	gut	Most animals has-part guts.	1.00	y	n	n	animal_n1	body_part_n1	a50441|a62127
0.84	most	animal	has-part	jaw	Most animals has-part jaws.	0.67	y	n	n	animal_n1	body_part_n1	a5061|a5062
0.84	most	animal	has-part	molar	Most animals has-part molars.	1.00	y	n	n	animal_n1	body_part_n1	a29161|a29162
0.84	most	animal	has-part	skeleton	Most animals has-part skeletons.	1.00	y	n	n	animal_n1	body_part_n1	a6495|a6496|a6497|a6498|a9930|a9931
0.84	most	animal	has-part	stomach	Most animals has-part stomachs.	1.00	y	n	n	animal_n1	body_part_n1	a6624|a6625|a6626|a6627|a6628|a6629|a6630|a6631
0.84	most	animal	help	ecosystem	Most animals help ecosystems.	0.50	y	n	n	animal_n1	Thing	KBCompletion
0.84	most	animal	is located in	habitat	Most animals are located in habitats.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.84	most	animal	live in	environment	Most animals live in environments.	1.00	y	n	n	animal_n1	location_n1	a13457|a13458|a14229|a14230|a20788|a20789|a20790|a20791|a27379|a27380|a41931|a41932|a41933|a41934|a41935|a41936|a41937
0.84	most	animal	live in	habitat	Most animals live in habitats.	1.00	y	n	n	animal_n1	location_n1	a5356|a15962|a50798|a50799|a50800|a50801|a50802|a50803|a50804|a50805|a50806|a50807|a54982
0.84	most	animal	love	water	Most animals love water.	0.67	y	n	n	animal_n1	substance_n1	a45931
0.84	most	animal	make	manure	Most animals make manure.	1.00	y	n	n	animal_n1	material_n1	a70834|a70835|a70836
0.84	most	animal	migrate to	habitat	Most animals migrate to habitats.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.84	most	animal	move	head	Most animals move heads.	1.00	y	n	n	animal_n1	body_part_n1	KBCompletion
0.84	most	animal	possess	bone	Most animals possess bones.	1.00	y	n	n	animal_n1	body_part_n1	KBCompletion
0.84	most	animal	possess	cell	Most animals possess cells.	1.00	y	n	n	animal_n1	Thing	a2412|a2413
0.84	most	animal	possess	hair	Most animals possess hair.	1.00	y	n	n	animal_n1	Thing	a21029|a21030|a21031|a21032|a21033|a21034|a21035|a21036|a50099|a50100|a50101|a50102
0.84	most	animal	possess	movement	Most animals possess movement.	1.00	y	n	n	animal_n1	action_n1	a79249|a79250
0.84	most	animal	seek	water	Most animals seek water.	1.00	y	n	n	animal_n1	substance_n1	KBCompletion
0.84	most	animal	share	earth	Most animals share earth.	1.00	y	n	n	animal_n1	material_n1	a29867|a29868|a29869|a79587
0.84	most	animal	shed	coat	Most animals shed coats.	1.00	y	n	n	animal_n1	clothing_n1	a6437|a6438|a6439|a6440
0.84	most	animal	stand on	leg	Most animals stand on legs.	0.67	y	n	n	animal_n1	body_part_n1	a61165|a76806
0.84	most	animal	thrive in	ecosystem	Most animals thrive in ecosystems.	1.00	y	n	n	animal_n1	Thing	a69819
0.75	most	animal	attract	partner	Most animals attract partners.	1.00	y	n	n	animal_n1	person_n1	a8303
0.75	most	animal	attract	predator	Most animals attract predators.	1.00	y	n	n	animal_n1	animal_n1	a44763|a44764
0.75	most	animal	bite	object	Most animals bite objects.	1.00	y	n	n	animal_n1	Thing	a4588
0.75	most	animal	carry	organism	Most animals carry organisms.	1.00	y	n	n	animal_n1	organism_n1	a82115|a82116|a82117|a82118
0.75	most	animal	come from	country	Most animals come from countries.	1.00	y	n	n	animal_n1	location_n1	KBCompletion
0.75	most	animal	depend on	forest	Most animals depend on forests.	0.67	y	n	n	animal_n1	Thing	KBCompletion
0.75	most	animal	eat	meat	Most animals eat meat.	1.00	y	n	n	animal_n1	substance_n1	a8521|a8522|a8523|a8524|a8525|a8526|a8527|a8528|a8529|a8530|a8531|a8532|a8533|a8534|a8535|a8536|a8537|a8538|a8539|a8540|a8541|a8542|a24979|a46170
