QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
1.00	most	abbey	has-part	room light	Most abbeys have (part) room light.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	section	Most abbeys have (part) sections.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	stair	Most abbeys have (part) stairs.	-	y	n	n	building_n1	device_n1	WordNet3.0
1.00	most	abbey	has-part	staircase	Most abbeys have (part) staircases.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	storey	Most abbeys have (part) storeys.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	wall	Most abbeys have (part) walls.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	window frame	Most abbeys have (part) window frames.	-	y	n	n	building_n1	Thing	WordNet3.0
1.00	most	abbey	has-part	window	Most abbeys have (part) windows.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abbey	has-part	windowpane	Most abbeys have (part) windowpanes.	-	y	n	n	building_n1	artifact_n1	WordNet3.0
1.00	most	abdomen	has-part	belly button	Most abdomens have (part) belly buttons.	-	y	n	n	body_part_n1	Thing	WordNet3.0
1.00	most	abdomen	has-part	bowel	Most abdomens have (part) bowels.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	abdomen	has-part	corpus	Most abdomens have (part) corpi.	-	y	n	n	body_part_n1	Thing	WordNet3.0
1.00	most	abdomen	has-part	gut	Most abdomens have (part) guts.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	abdomen	has-part	intestine	Most abdomens have (part) intestines.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	abdomen	has-part	lobe	Most abdomens have (part) lobes.	-	y	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	acacia	has-part	bark	Most acacias have (part) bark.	-	y	n	n	plant_n2	sound_n4	WordNet3.0
1.00	most	acacia	has-part	cell membrane	Most acacias have (part) cell membranes.	-	y	n	n	plant_n2	Thing	WordNet3.0
1.00	most	acacia	has-part	cell	Most acacias have (part) cells.	-	y	n	n	plant_n2	Thing	WordNet3.0
1.00	most	acacia	has-part	corpus	Most acacias have (part) corpi.	-	y	n	n	plant_n2	Thing	WordNet3.0
1.00	most	acacia	has-part	cytoplasm	Most acacias have (part) cytoplasm.	-	y	n	n	plant_n2	substance_n1	WordNet3.0
1.00	most	acacia	has-part	leaf node	Most acacias have (part) leaf nodes.	-	y	n	n	plant_n2	Thing	WordNet3.0
1.00	most	acacia	has-part	nucleus	Most acacias have (part) nuclei.	-	y	n	n	plant_n2	body_part_n1	WordNet3.0
1.00	most	acacia	has-part	plasma membrane	Most acacias have (part) plasma membranes.	-	y	n	n	plant_n2	Thing	WordNet3.0
1.00	most	acacia	has-part	section	Most acacias have (part) sections.	-	y	n	n	plant_n2	Thing	WordNet3.0
1.00	most	acacia	has-part	stump	Most acacias have (part) stumps.	-	y	n	n	plant_n2	plant_part_n1	WordNet3.0
1.00	most	acacia	has-part	tree branch	Most acacias have (part) tree branches.	-	y	n	n	plant_n2	Thing	WordNet3.0
1.00	most	acacia	has-part	treetop	Most acacias have (part) treetops.	-	y	n	n	plant_n2	location_n1	WordNet3.0
1.00	most	acacia	has-part	trunk	Most acacias have (part) trunks.	-	y	n	n	plant_n2	plant_part_n1	WordNet3.0
1.00	most	acacia	has-part	vacuole	Most acacias have (part) vacuoles.	-	y	n	n	plant_n2	body_part_n1	WordNet3.0
1.00	most	acacia	has-part	xylem	Most acacias have (part) xylem.	-	y	n	n	plant_n2	plant_part_n1	WordNet3.0
1.00	most	accelerator	has-part	fulcrum	Most accelerators have (part) fulcrums.	-	y	n	n	artifact_n1	device_n1	WordNet3.0
1.00	most	accelerator	has-part	section	Most accelerators have (part) sections.	-	y	n	n	artifact_n1	Thing	WordNet3.0
1.00	most	accelerometer	has-part	section	Most accelerometers have (part) sections.	-	y	n	n	measuring_instrument_n1	Thing	WordNet3.0
1.00	most	accent	has-part	speech sound	Most accents have (part) speech sound.	-	y	n	n	auditory_communication_n1	Thing	WordNet3.0
1.00	most	accordion	has-part	action mechanism	Most accordions have (part) action mechanisms.	-	y	n	n	device_n1	Thing	WordNet3.0
1.00	most	accordion	has-part	finger hole	Most accordions have (part) finger holes.	-	y	n	n	device_n1	Thing	WordNet3.0
1.00	most	accordion	has-part	piano keyboard	Most accordions have (part) piano keyboards.	-	y	n	n	device_n1	Thing	WordNet3.0
1.00	most	accordion	has-part	section	Most accordions have (part) sections.	-	y	n	n	device_n1	Thing	WordNet3.0
1.00	most	acne	has-part	inflammation	Most acne has (part) inflammation.	-	y	n	n	illness_n1	knowledge_n1	WordNet3.0
1.00	most	acorn	has-part	acorn cup	Most acorns have (part) acorn cups.	-	y	n	n	plant_part_n1	Thing	WordNet3.0
1.00	most	acorn	has-part	section	Most acorns have (part) sections.	-	y	n	n	plant_part_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	arm	Most acrobats have (part) arms.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	acrobat	has-part	body substance	Most acrobats have (part) body substances.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	cell membrane	Most acrobats have (part) cell membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	cell	Most acrobats have (part) cells.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	corpus	Most acrobats have (part) corpi.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	cytoplasm	Most acrobats have (part) cytoplasm.	-	y	n	n	person_n1	substance_n1	WordNet3.0
1.00	most	acrobat	has-part	head	Most acrobats have (part) heads.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	acrobat	has-part	human body	Most acrobats have (part) human bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	leg	Most acrobats have (part) legs.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	acrobat	has-part	material body	Most acrobats have (part) material bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	neck	Most acrobats have (part) necks.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	acrobat	has-part	nucleus	Most acrobats have (part) nuclei.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	acrobat	has-part	personality	Most acrobats have (part) personality.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	plasma membrane	Most acrobats have (part) plasma membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	section	Most acrobats have (part) sections.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	acrobat	has-part	vacuole	Most acrobats have (part) vacuoles.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	acrosome	has-part	corpus	Most acrosomes have (part) corpi.	-	y	n	n	body_part_n1	Thing	WordNet3.0
1.00	most	actin	has-part	atom	Most actin has (part) atoms.	-	y	n	n	material_n1	substance_n1	WordNet3.0
1.00	most	actin	has-part	chemical chain	Most actin has (part) chemical chain.	-	y	n	n	material_n1	Thing	WordNet3.0
1.00	most	actin	has-part	chemical group	Most actin has (part) chemical groups.	-	y	n	n	material_n1	Thing	WordNet3.0
1.00	most	actor	has-part	arm	Most actors have (part) arms.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actor	has-part	body substance	Most actors have (part) body substances.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	cell membrane	Most actors have (part) cell membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	cell	Most actors have (part) cells.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	corpus	Most actors have (part) corpi.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	cytoplasm	Most actors have (part) cytoplasm.	-	y	n	n	person_n1	substance_n1	WordNet3.0
1.00	most	actor	has-part	head	Most actors have (part) heads.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actor	has-part	human body	Most actors have (part) human bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	leg	Most actors have (part) legs.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actor	has-part	material body	Most actors have (part) material bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	neck	Most actors have (part) necks.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actor	has-part	nucleus	Most actors have (part) nuclei.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actor	has-part	personality	Most actors have (part) personality.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	plasma membrane	Most actors have (part) plasma membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	section	Most actors have (part) sections.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actor	has-part	vacuole	Most actors have (part) vacuoles.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actress	has-part	arm	Most actresses have (part) arms.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actress	has-part	body substance	Most actresses have (part) body substances.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	cell membrane	Most actresses have (part) cell membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	cell	Most actresses have (part) cells.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	corpus	Most actresses have (part) corpi.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	cytoplasm	Most actresses have (part) cytoplasm.	-	y	n	n	person_n1	substance_n1	WordNet3.0
1.00	most	actress	has-part	head	Most actresses have (part) heads.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actress	has-part	human body	Most actresses have (part) human bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	leg	Most actresses have (part) legs.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actress	has-part	material body	Most actresses have (part) material bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	neck	Most actresses have (part) necks.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actress	has-part	nucleus	Most actresses have (part) nuclei.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	actress	has-part	personality	Most actresses have (part) personality.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	plasma membrane	Most actresses have (part) plasma membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	section	Most actresses have (part) sections.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	actress	has-part	vacuole	Most actresses have (part) vacuoles.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	brain	Most addaxs have (part) brains.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	breast	Most addaxs have (part) breasts.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	cannon bone	Most addaxs have (part) cannon bones.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	cell membrane	Most addaxs have (part) cell membranes.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	cell	Most addaxs have (part) cells.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	chest cavity	Most addaxs have (part) chest cavities.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	chest	Most addaxs have (part) chests.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	corpus	Most addaxs have (part) corpi.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	cytoplasm	Most addaxs have (part) cytoplasm.	-	y	n	n	animal_n1	substance_n1	WordNet3.0
1.00	most	addax	has-part	ear	Most addaxs have (part) ears.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	face	Most addaxs have (part) faces.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	head	Most addaxs have (part) heads.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	hip socket	Most addaxs have (part) hip sockets.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	hoof	Most addaxs have (part) hoofs.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	nucleus	Most addaxs have (part) nuclei.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	pilus	Most addaxs have (part) piluses.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	plasma membrane	Most addaxs have (part) plasma membranes.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	rib cage	Most addaxs have (part) rib cages.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	second stomach	Most addaxs have (part) second stomachs.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	section	Most addaxs have (part) sections.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	addax	has-part	skull	Most addaxs have (part) skulls.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	sternum	Most addaxs have (part) sterna.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	addax	has-part	vacuole	Most addaxs have (part) vacuoles.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	brain	Most adders have (part) brains.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	breast	Most adders have (part) breasts.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	cell membrane	Most adders have (part) cell membranes.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adder	has-part	cell	Most adders have (part) cells.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adder	has-part	chest cavity	Most adders have (part) chest cavities.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adder	has-part	chest	Most adders have (part) chests.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	corpus	Most adders have (part) corpi.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adder	has-part	cytoplasm	Most adders have (part) cytoplasm.	-	y	n	n	animal_n1	substance_n1	WordNet3.0
1.00	most	adder	has-part	ear	Most adders have (part) ears.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	face	Most adders have (part) faces.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	head	Most adders have (part) heads.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	nucleus	Most adders have (part) nuclei.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	pedal extremity	Most adders have (part) pedal extremities.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adder	has-part	plasma membrane	Most adders have (part) plasma membranes.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adder	has-part	rib cage	Most adders have (part) rib cages.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adder	has-part	section	Most adders have (part) sections.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adder	has-part	skull	Most adders have (part) skulls.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	sternum	Most adders have (part) sterna.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	vacuole	Most adders have (part) vacuoles.	-	y	n	n	animal_n1	body_part_n1	WordNet3.0
1.00	most	adder	has-part	vertebrate foot	Most adders have (part) vertebrate feet.	-	y	n	n	animal_n1	Thing	WordNet3.0
1.00	most	adenovirus	has-part	cell membrane	Most adenoviruses have (part) cell membranes.	-	y	n	n	microorganism_n1	Thing	WordNet3.0
1.00	most	adenovirus	has-part	cell	Most adenoviruses have (part) cells.	-	y	n	n	microorganism_n1	Thing	WordNet3.0
1.00	most	adenovirus	has-part	corpus	Most adenoviruses have (part) corpi.	-	y	n	n	microorganism_n1	Thing	WordNet3.0
1.00	most	adenovirus	has-part	cytoplasm	Most adenoviruses have (part) cytoplasm.	-	y	n	n	microorganism_n1	substance_n1	WordNet3.0
1.00	most	adenovirus	has-part	nucleus	Most adenoviruses have (part) nuclei.	-	y	n	n	microorganism_n1	body_part_n1	WordNet3.0
1.00	most	adenovirus	has-part	plasma membrane	Most adenoviruses have (part) plasma membranes.	-	y	n	n	microorganism_n1	Thing	WordNet3.0
1.00	most	adenovirus	has-part	section	Most adenoviruses have (part) sections.	-	y	n	n	microorganism_n1	Thing	WordNet3.0
1.00	most	adenovirus	has-part	vacuole	Most adenoviruses have (part) vacuoles.	-	y	n	n	microorganism_n1	body_part_n1	WordNet3.0
1.00	most	adjective	has-part	syllable	Most adjectives have (part) syllables.	-	y	n	n	Thing	Thing	WordNet3.0
1.00	most	administrator	has-part	arm	Most administrators have (part) arms.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	administrator	has-part	body substance	Most administrators have (part) body substances.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	cell membrane	Most administrators have (part) cell membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	cell	Most administrators have (part) cells.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	corpus	Most administrators have (part) corpi.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	cytoplasm	Most administrators have (part) cytoplasm.	-	y	n	n	person_n1	substance_n1	WordNet3.0
1.00	most	administrator	has-part	head	Most administrators have (part) heads.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	administrator	has-part	human body	Most administrators have (part) human bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	leg	Most administrators have (part) legs.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	administrator	has-part	material body	Most administrators have (part) material bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	neck	Most administrators have (part) necks.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	administrator	has-part	nucleus	Most administrators have (part) nuclei.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	administrator	has-part	personality	Most administrators have (part) personality.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	plasma membrane	Most administrators have (part) plasma membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	section	Most administrators have (part) sections.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	administrator	has-part	vacuole	Most administrators have (part) vacuoles.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	admiral	has-part	arm	Most admirals have (part) arms.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	admiral	has-part	body substance	Most admirals have (part) body substances.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	admiral	has-part	cell membrane	Most admirals have (part) cell membranes.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	admiral	has-part	cell	Most admirals have (part) cells.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	admiral	has-part	corpus	Most admirals have (part) corpi.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	admiral	has-part	cytoplasm	Most admirals have (part) cytoplasm.	-	y	n	n	person_n1	substance_n1	WordNet3.0
1.00	most	admiral	has-part	head	Most admirals have (part) heads.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
1.00	most	admiral	has-part	human body	Most admirals have (part) human bodies.	-	y	n	n	person_n1	Thing	WordNet3.0
1.00	most	admiral	has-part	leg	Most admirals have (part) legs.	-	y	n	n	person_n1	body_part_n1	WordNet3.0
