QStrength	Quantifier	Arg1	Pred	Arg2	Sentence	Score	Canonical?	Multiword?	Inferred?	Domain	Range	Provenance
1.00	most	acne	isa	disease	Acne isa disease.	1.00	n	n	n	illness_n1	illness_n1	WordNet3.0
1.00	most	acorn	isa	fruit	Acorn isa fruit.	1.00	n	n	n	plant_part_n1	plant_part_n1	WordNet3.0
1.00	most	acre	isa	unit	Acre isa unit.	1.00	n	n	n	definite_quantity_n1	definite_quantity_n1	WordNet3.0
1.00	most	acrobat	isa	athlete	Acrobat isa athlete.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	acrosome	isa	body part	Acrosome isa body part.	1.00	n	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	actin	isa	protein	Actin isa protein.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	action	isa	event	Action isa event.	1.00	n	n	n	action_n1	event_n1	WordNet3.0
1.00	most	activation	isa	process	Activation isa process.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	activator	isa	substance	Activator isa substance.	1.00	n	n	n	substance_n1	substance_n1	WordNet3.0
1.00	most	activity	isa	event	Activity isa event.	1.00	n	n	n	activity_n1	event_n1	WordNet3.0
1.00	most	actor	isa	performer	Actor isa performer.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	actress	isa	actor	Actress isa actor.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	actuality	isa	being	Actuality isa being.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	actuality	isa	existence	Actuality isa existence.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	ad	isa	message	Ad isa message.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	addax	isa	antelope	Addax isa antelope.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	adder	isa	viper	Adder isa viper.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	addiction	isa	condition	Addiction isa condition.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	addition	isa	action	Addition isa action.	1.00	n	n	n	action_n1	action_n1	WordNet3.0
1.00	most	additive	isa	constituent	Additive isa constituent.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	additive	isa	element	Additive isa element.	1.00	n	n	n	Thing	element_n2	WordNet3.0
1.00	most	address	isa	location	Address isa location.	1.00	n	n	n	location_n1	location_n1	WordNet3.0
1.00	most	Adelaide	isa	thing	Adelaide isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	adenine	isa	alkali	Adenine isa alkali.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	adenosine	isa	compound	Adenosine isa compound.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	adenovirus	isa	virus	Adenovirus isa virus.	1.00	n	n	n	microorganism_n1	microorganism_n1	WordNet3.0
1.00	most	adhesive	isa	material	Adhesive isa material.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	adhesive	isa	stuff	Adhesive isa stuff.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	adjective	isa	word	Adjective isa word.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	adjustment	isa	transformation	Adjustment isa transformation.	1.00	n	n	n	event_n1	event_n1	WordNet3.0
1.00	most	administration	isa	period	Administration isa period.	1.00	n	n	n	period_n1	period_n1	WordNet3.0
1.00	most	administrator	isa	leader	Administrator isa leader.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	admiral	isa	officer	Admiral isa officer.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	admiration	isa	liking	Admiration isa liking.	1.00	n	n	n	feeling_n1	feeling_n1	WordNet3.0
1.00	most	admission	isa	arrival	Admission isa arrival.	1.00	n	n	n	action_n1	action_n1	WordNet3.0
1.00	most	adolescence	isa	period	Adolescence isa period.	1.00	n	n	n	period_n1	period_n1	WordNet3.0
1.00	most	adrenaline	isa	agent	Adrenaline isa agent.	1.00	n	n	n	material_n1	Thing	WordNet3.0
1.00	most	adrenaline	isa	hormone	Adrenaline isa hormone.	1.00	n	n	n	material_n1	substance_n1	WordNet3.0
1.00	most	adrenaline	isa	neurotransmitter	Adrenaline isa neurotransmitter.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	adult	isa	individual	Adult isa individual.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	adult	isa	person	Adult isa person.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	adult	isa	somebody	Adult isa somebody.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	adult	isa	someone	Adult isa someone.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	adulthood	isa	period	Adulthood isa period.	1.00	n	n	n	period_n1	period_n1	WordNet3.0
1.00	most	advancement	isa	message	Advancement isa message.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	advantage	isa	asset	Advantage isa asset.	1.00	n	n	n	quality_n1	quality_n1	WordNet3.0
1.00	most	advection	isa	process	Advection isa process.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	adventure	isa	task	Adventure isa task.	1.00	n	n	n	activity_n1	activity_n1	WordNet3.0
1.00	most	adverb	isa	category	Adverb isa category.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	adverb	isa	class	Adverb isa class.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	advert	isa	message	Advert isa message.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	advertisement	isa	message	Advertisement isa message.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	advice	isa	proposal	Advice isa proposal.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	aeration	isa	process	Aeration isa process.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	aerial	isa	device	Aerial isa device.	1.00	n	n	n	device_n1	device_n1	WordNet3.0
1.00	most	aeroplane	isa	aircraft	Aeroplane isa aircraft.	1.00	n	n	n	transport_n1	transport_n1	WordNet3.0
1.00	most	aerosol	isa	cloud	Aerosol isa cloud.	1.00	n	n	n	phenomenon_n1	phenomenon_n1	WordNet3.0
1.00	most	affair	isa	concern	Affair isa concern.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	affect	isa	feeling	Affect isa feeling.	1.00	n	n	n	feeling_n1	feeling_n1	WordNet3.0
1.00	most	affection	isa	feeling	Affection isa feeling.	1.00	n	n	n	feeling_n1	feeling_n1	WordNet3.0
1.00	most	affirmation	isa	statement	Affirmation isa statement.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	afghan	isa	blanket	Afghan isa blanket.	1.00	n	n	n	artifact_n1	artifact_n1	WordNet3.0
1.00	most	Afghanistan	isa	thing	Afghanistan isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	Africa	isa	thing	Africa isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	afternoon	isa	daylight	Afternoon isa daylight.	1.00	n	n	n	period_n1	period_n1	WordNet3.0
1.00	most	afternoon	isa	daytime	Afternoon isa daytime.	1.00	n	n	n	period_n1	period_n1	WordNet3.0
1.00	most	age	isa	property	Age isa property.	1.00	n	n	n	property_n3	property_n3	WordNet3.0
1.00	most	agency	isa	organization	Agency isa organization.	1.00	n	n	n	social_group_n1	social_group_n1	WordNet3.0
1.00	most	agent	isa	entity	Agent isa entity.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	aggregate	isa	aggregation	Aggregate isa aggregation.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	aggregate	isa	collection	Aggregate isa collection.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	aggregation	isa	group	Aggregation isa group.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	aggression	isa	disposition	Aggression isa disposition.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	aggressiveness	isa	disposition	Aggressiveness isa disposition.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	agouti	isa	rodent	Agouti isa rodent.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	agreement	isa	statement	Agreement isa statement.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	agriculture	isa	commerce	Agriculture isa commerce.	1.00	n	n	n	event_n1	event_n1	WordNet3.0
1.00	most	agua	isa	frog	Agua isa frog.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	agua	isa	toad	Agua isa toad.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	ailment	isa	disorder	Ailment isa disorder.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	aim	isa	goal	Aim isa goal.	1.00	n	n	n	knowledge_n1	knowledge_n1	WordNet3.0
1.00	most	air	isa	fluid	Air isa fluid.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	aircraft	isa	craft	Aircraft isa craft.	1.00	n	n	n	transport_n1	transport_n1	WordNet3.0
1.00	most	airplane	isa	aircraft	Airplane isa aircraft.	1.00	n	n	n	transport_n1	transport_n1	WordNet3.0
1.00	most	airport	isa	facility	Airport isa facility.	1.00	n	n	n	artifact_n1	artifact_n1	WordNet3.0
1.00	most	airway	isa	canal	Airway isa canal.	1.00	n	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	airway	isa	duct	Airway isa duct.	1.00	n	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	Alabama	isa	thing	Alabama isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	alanine	isa	compound	Alanine isa compound.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	alarm	isa	clock	Alarm isa clock.	1.00	n	n	n	measuring_instrument_n1	measuring_instrument_n1	WordNet3.0
1.00	most	Alaska	isa	thing	Alaska isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	Albania	isa	thing	Albania isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	Albany	isa	thing	Albany isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	albatross	isa	seabird	Albatross isa seabird.	1.00	n	n	n	bird_n1	bird_n1	WordNet3.0
1.00	most	Alberta	isa	thing	Alberta isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	albinism	isa	abnormality	Albinism isa abnormality.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	albinism	isa	condition	Albinism isa condition.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	albino	isa	individual	Albino isa individual.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	albino	isa	person	Albino isa person.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	albino	isa	somebody	Albino isa somebody.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	albino	isa	someone	Albino isa someone.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	album	isa	instrumentality	Album isa instrumentality.	1.00	n	n	n	artifact_n1	artifact_n1	WordNet3.0
1.00	most	albumen	isa	protein	Albumen isa protein.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	alcohol	isa	beverage	Alcohol isa beverage.	1.00	n	n	n	food_n1	food_n1	WordNet3.0
1.00	most	alcohol	isa	drug	Alcohol isa drug.	1.00	n	n	n	food_n1	Thing	WordNet3.0
1.00	most	alder	isa	wood	Alder isa wood.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	alga	isa	microorganism	Alga isa microorganism.	1.00	n	n	n	microorganism_n1	microorganism_n1	WordNet3.0
1.00	most	algae	isa	microorganism	Algae isa microorganism.	1.00	n	n	n	microorganism_n1	microorganism_n1	WordNet3.0
1.00	most	Algeria	isa	thing	Algeria isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	alien	isa	intruder	Alien isa intruder.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	alkali	isa	compound	Alkali isa compound.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	alkalinity	isa	concentration	Alkalinity isa concentration.	1.00	n	n	n	property_n3	property_n3	WordNet3.0
1.00	most	allele	isa	gene	Allele isa gene.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	allergen	isa	matter	Allergen isa matter.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	allergy	isa	predisposition	Allergy isa predisposition.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	alley	isa	street	Alley isa street.	1.00	n	n	n	artifact_n1	artifact_n1	WordNet3.0
1.00	most	alligator	isa	crocodilian	Alligator isa crocodilian.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	allotment	isa	possession	Allotment isa possession.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	alloy	isa	mixture	Alloy isa mixture.	1.00	n	n	n	substance_n1	substance_n1	WordNet3.0
1.00	most	ally	isa	nation	Ally isa nation.	1.00	n	n	n	social_group_n1	social_group_n1	WordNet3.0
1.00	most	almanac	isa	book	Almanac isa book.	1.00	n	n	n	artifact_n1	artifact_n1	WordNet3.0
1.00	most	almond	isa	fruit	Almond isa fruit.	1.00	n	n	n	plant_part_n1	plant_part_n1	WordNet3.0
1.00	most	almond	isa	nut	Almond isa nut.	1.00	n	n	n	plant_part_n1	plant_part_n1	WordNet3.0
1.00	most	aloe	isa	tracheophyte	Aloe isa tracheophyte.	1.00	n	n	n	plant_n2	plant_n2	WordNet3.0
1.00	most	alp	isa	mount	Alp isa mount.	1.00	n	n	n	formation_n5	formation_n5	WordNet3.0
1.00	most	alp	isa	mountain	Alp isa mountain.	1.00	n	n	n	formation_n5	formation_n5	WordNet3.0
1.00	most	alphabet	isa	list	Alphabet isa list.	1.00	n	n	n	written_language_n1	message_n2	WordNet3.0
1.00	most	alphabet	isa	written language	Alphabet isa written language.	1.00	n	n	n	written_language_n1	written_language_n1	WordNet3.0
1.00	most	alsatian	isa	dog	Alsatian isa dog.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	alteration	isa	happening	Alteration isa happening.	1.00	n	n	n	event_n1	event_n1	WordNet3.0
1.00	most	alteration	isa	occurrence	Alteration isa occurrence.	1.00	n	n	n	event_n1	event_n1	WordNet3.0
1.00	most	alternation	isa	activity	Alternation isa activity.	1.00	n	n	n	activity_n1	activity_n1	WordNet3.0
1.00	most	alternative	isa	cognition	Alternative isa cognition.	1.00	n	n	n	process_n2	knowledge_n1	WordNet3.0
1.00	most	alternative	isa	knowledge	Alternative isa knowledge.	1.00	n	n	n	process_n2	knowledge_n1	WordNet3.0
1.00	most	altimeter	isa	measuring device	Altimeter isa measuring device.	1.00	n	n	n	measuring_instrument_n1	measuring_instrument_n1	WordNet3.0
1.00	most	altitude	isa	distance	Altitude isa distance.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	altocumulus	isa	cumulus	Altocumulus isa cumulus.	1.00	n	n	n	phenomenon_n1	phenomenon_n1	WordNet3.0
1.00	most	altostratus	isa	stratus	Altostratus isa stratus.	1.00	n	n	n	phenomenon_n1	phenomenon_n1	WordNet3.0
1.00	most	aluminate	isa	compound	Aluminate isa compound.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	aluminium	isa	metal	Aluminium isa metal.	1.00	n	n	n	element_n2	element_n2	WordNet3.0
1.00	most	aluminum	isa	metal	Aluminum isa metal.	1.00	n	n	n	element_n2	element_n2	WordNet3.0
1.00	most	alveolus	isa	body part	Alveolus isa body part.	1.00	n	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	Amarillo	isa	thing	Amarillo isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	amateur	isa	individual	Amateur isa individual.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	amateur	isa	person	Amateur isa person.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	amateur	isa	somebody	Amateur isa somebody.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	amateur	isa	someone	Amateur isa someone.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	amazement	isa	feeling	Amazement isa feeling.	1.00	n	n	n	feeling_n1	feeling_n1	WordNet3.0
1.00	most	Amazon	isa	thing	Amazon isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	ambition	isa	desire	Ambition isa desire.	1.00	n	n	n	feeling_n1	feeling_n1	WordNet3.0
1.00	most	ambrosia	isa	mixture	Ambrosia isa mixture.	1.00	n	n	n	substance_n1	substance_n1	WordNet3.0
1.00	most	ambulance	isa	auto	Ambulance isa auto.	1.00	n	n	n	transport_n1	transport_n1	WordNet3.0
1.00	most	ambulance	isa	automobile	Ambulance isa automobile.	1.00	n	n	n	transport_n1	transport_n1	WordNet3.0
1.00	most	ambulance	isa	car	Ambulance isa car.	1.00	n	n	n	transport_n1	transport_n1	WordNet3.0
1.00	most	America	isa	thing	America isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	ammonium	isa	compound	Ammonium isa compound.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	ammunition	isa	weaponry	Ammunition isa weaponry.	1.00	n	n	n	artifact_n1	artifact_n1	WordNet3.0
1.00	most	amniocentesis	isa	activity	Amniocentesis isa activity.	1.00	n	n	n	activity_n1	activity_n1	WordNet3.0
1.00	most	amniocentesis	isa	procedure	Amniocentesis isa procedure.	1.00	n	n	n	activity_n1	activity_n1	WordNet3.0
1.00	most	amoeba	isa	protozoan	Amoeba isa protozoan.	1.00	n	n	n	microorganism_n1	microorganism_n1	WordNet3.0
1.00	most	amount	isa	magnitude	Amount isa magnitude.	1.00	n	n	n	property_n3	property_n3	WordNet3.0
1.00	most	amp	isa	emu	Amp isa emu.	1.00	n	n	n	definite_quantity_n1	definite_quantity_n1	WordNet3.0
1.00	most	ampere	isa	emu	Ampere isa emu.	1.00	n	n	n	definite_quantity_n1	definite_quantity_n1	WordNet3.0
1.00	most	amphibian	isa	vertebrate	Amphibian isa vertebrate.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	amusement	isa	delight	Amusement isa delight.	1.00	n	n	n	feeling_n1	feeling_n1	WordNet3.0
1.00	most	amylase	isa	enzyme	Amylase isa enzyme.	1.00	n	n	n	material_n1	material_n1	WordNet3.0
1.00	most	analogy	isa	inference	Analogy isa inference.	1.00	n	n	n	process_n2	process_n2	WordNet3.0
1.00	most	analysis	isa	activity	Analysis isa activity.	1.00	n	n	n	activity_n1	activity_n1	WordNet3.0
1.00	most	ananas	isa	matter	Ananas isa matter.	1.00	n	n	n	plant_part_n1	Thing	WordNet3.0
1.00	most	anaphase	isa	stage	Anaphase isa stage.	1.00	n	n	n	period_n1	period_n1	WordNet3.0
1.00	most	anaphylaxis	isa	predisposition	Anaphylaxis isa predisposition.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	anatomy	isa	biology	Anatomy isa biology.	1.00	n	n	n	knowledge_n1	knowledge_n1	WordNet3.0
1.00	most	ancestor	isa	relative	Ancestor isa relative.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	ancestry	isa	social group	Ancestry isa social group.	1.00	n	n	n	social_group_n1	social_group_n1	WordNet3.0
1.00	most	anchor	isa	mechanism	Anchor isa mechanism.	1.00	n	n	n	device_n1	device_n1	WordNet3.0
1.00	most	Andorra	isa	thing	Andorra isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	anemia	isa	condition	Anemia isa condition.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	anemometer	isa	gage	Anemometer isa gage.	1.00	n	n	n	measuring_instrument_n1	measuring_instrument_n1	WordNet3.0
1.00	most	anemometer	isa	gauge	Anemometer isa gauge.	1.00	n	n	n	measuring_instrument_n1	measuring_instrument_n1	WordNet3.0
1.00	most	anemone	isa	angiosperm	Anemone isa angiosperm.	1.00	n	n	n	plant_n2	plant_n2	WordNet3.0
1.00	most	anemone	isa	cnidarian	Anemone isa cnidarian.	1.00	n	n	n	plant_n2	animal_n1	WordNet3.0
1.00	most	anesthetic	isa	drug	Anesthetic isa drug.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	angel	isa	belief	Angel isa belief.	1.00	n	n	n	knowledge_n1	knowledge_n1	WordNet3.0
1.00	most	anger	isa	emotion	Anger isa emotion.	1.00	n	n	n	feeling_n1	feeling_n1	WordNet3.0
1.00	most	angiosperm	isa	spermatophyte	Angiosperm isa spermatophyte.	1.00	n	n	n	plant_n2	plant_n2	WordNet3.0
1.00	most	angle	isa	shape	Angle isa shape.	1.00	n	n	n	shape_n2	shape_n2	WordNet3.0
1.00	most	angler	isa	fish	Angler isa fish.	1.00	n	n	n	fish_n1	fish_n1	WordNet3.0
1.00	most	anglerfish	isa	fish	Anglerfish isa fish.	1.00	n	n	n	fish_n1	fish_n1	WordNet3.0
1.00	most	angleworm	isa	worm	Angleworm isa worm.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	Angola	isa	thing	Angola isa thing.	1.00	n	n	n	Thing	Thing	WordNet3.0
1.00	most	Angolan	isa	individual	Angolan isa individual.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	Angolan	isa	person	Angolan isa person.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	Angolan	isa	somebody	Angolan isa somebody.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	Angolan	isa	someone	Angolan isa someone.	1.00	n	n	n	person_n1	person_n1	WordNet3.0
1.00	most	angwantibo	isa	lemur	Angwantibo isa lemur.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	animal	isa	organism	Animal isa organism.	1.00	n	n	n	animal_n1	organism_n1	WordNet3.0
1.00	most	animalcule	isa	organism	Animalcule isa organism.	1.00	n	n	n	organism_n1	organism_n1	WordNet3.0
1.00	most	animation	isa	activity	Animation isa activity.	1.00	n	n	n	activity_n1	activity_n1	WordNet3.0
1.00	most	ankle	isa	joint	Ankle isa joint.	1.00	n	n	n	body_part_n1	body_part_n1	WordNet3.0
1.00	most	anniversary	isa	period	Anniversary isa period.	1.00	n	n	n	period_n1	period_n1	WordNet3.0
1.00	most	announcement	isa	statement	Announcement isa statement.	1.00	n	n	n	message_n2	message_n2	WordNet3.0
1.00	most	annoyance	isa	condition	Annoyance isa condition.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
1.00	most	anoa	isa	ungulate	Anoa isa ungulate.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	anode	isa	device	Anode isa device.	1.00	n	n	n	device_n1	device_n1	WordNet3.0
1.00	most	anole	isa	lizard	Anole isa lizard.	1.00	n	n	n	animal_n1	animal_n1	WordNet3.0
1.00	most	anorak	isa	jacket	Anorak isa jacket.	1.00	n	n	n	clothing_n1	clothing_n1	WordNet3.0
1.00	most	anorexia	isa	disorder	Anorexia isa disorder.	1.00	n	n	n	state_n4	state_n4	WordNet3.0
